"Клеймо за време","Факултетен номер","Номер на въпроса","Цел на въпроса","Тип на въпроса","Въпрос","Опция 1","Опция 2","Опция 3","Опция 4","Верен отговор","Ниво на трудност","Обратна връзка при верен отговор","Обратна връзка при грешен отговор","Забележка"
"2013/04/27 12:10:02 сл.об. Гринуич+3","61446","2","Разбран ли е синтаксисът на JSP","3","Кое от следните е синтаксис на Scriptlet?","<% code fragment %>","<%= expression %>","<%@ page ... %>","<%@ page attribute=""value"" %>","1","3","Поздравление,това е правилният отговор!","Грешен отговор! 
Моля, погледнете JSP- синтаксис!","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:13:03 сл.об. Гринуич+3","61446","3","Синтаксис на JSP","3","Кое не е директивен таг?","<%@ page ... %>","<%@ include ... %>","<%@ taglib ... %>","<%= expression %>","4","3","Поздравление,това е правилният отговор!","Това е грешен отговор! 
","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:17:36 сл.об. Гринуич+3","61446","4","Разбран ли е реферата","3","Кое от изброените неща не е вярно за JSP?","Позволено е вмъкване на Java код в HTML страници","Повечето тагове завършват с @>
","JSP е технология за web-странци","Повечето тагове започват с  <%","2","3","Поздравление,това е правилният отговор!","Грешен отговор!","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:21:38 сл.об. Гринуич+3","61446","5","Разбиране на реферата","3","Коя от стъпките не е следвана от JSP? ","Компилаци","Инициализация","Изпълнение","Всички са следвани от JSP","4","3","Поздравление,това е правилният отговор!","Грешен отговор!","http://www.tutorialspoint.com/jsp/ "
"2013/04/29 1:49:02 сл.об. Гринуич+3","61505","1","Проверка на знания","3","Кой от следните модели на работа използва технологията ASP?","Request-response","Get-send","Search-retrieve","GET-POST","1","3","Правилен отговор!","Грешка, прочети отново секцията за модели на ASP.","Виж в реферата"
"2013/04/29 1:49:07 сл.об. Гринуич+3","61505","1","Проверка на знания","3","Кой от следните модели на работа използва технологията ASP?","Request-response","Get-send","Search-retrieve","GET-POST","1","3","Правилен отговор!","Грешка, прочети отново секцията за модели на ASP.","Виж в реферата"
"2013/04/29 1:50:21 сл.об. Гринуич+3","61505","2","VbScript знания","3","В какво трябва да се огради даден блок от код, написан на езика VBScript?","<asp>…</asp>","<% … %>","<# …#>","<vbscript>…</vbscript>","2","2","Браво!","Грешка!","Виж секцията за VBScript."
"2013/04/29 1:52:16 сл.об. Гринуич+3","61505","3","Дефиниране на променливи","3","Коя от следните конструкции ще дефинира променливата “number” в ASP?

","def number","dim number","declare number ","describe number","2","2","Браво, това е верният отговор!","Това не е верният отговор. Погледни секцията за дефиниране на променливи от реферата.",":)"
"2024/05/27 9:57:44 пр.об. Гринуич+3","8MI0600036","5","Знания свързани с имплементацията на drag and drop ","1","Каква стойност трябва да има атрибутът draggable, за да се активира влаченето?","true","false","yes","enabled","1","1","Отлично! ","Грешка! За повече информация по темата ""Примери"" от реферата.","Не"
"2024/05/27 9:59:56 пр.об. Гринуич+3","8MI0600036","6","Знания свурзани с имплементацията на drag and drop ","2","Коя функция позволява предотвратяване на действия по подразбиране при пускане на елемент?","preventDefault()","stopPropagation()","cancel()","halt()","1","2","Отлично!","Грешка! За повече информация по темата виж ""Примери"" от реферата.","Не"
"2024/05/27 1:00:34 сл.об. Гринуич+3","8MI0600036","7 ","Знания свързани с имплементацията на drag and drop ","3","Каква е ролята на dataTransfer обекта в Drag and Drop API?","Трансфер на данни между влачени и пуснати елементи","Управление на анимации при влачене","Настройка на стилове за влачените елементи","Изпращане на HTTP заявки","1","3","Верен отговор. Отлично!","Грешка! За повече информация по темата виж ""HTML drag and drop API"" от реферата.","Не"
"2024/05/27 1:02:51 сл.об. Гринуич+3","8MI0600036","8","Основни знания за HTML drag and drop API","2","Кое от следните не е събитие, свързано с Drag and Drop API?","dragcomplete","dragstart","dragover","dragleave","1","3","Верен отговор. Отлично!","Грешка! За повече информация по темата виж ""Таблица 1"" от реферата.","Не"
"2024/05/30 11:51:16 сл.об. Гринуич+3","7MI0600131","1","Проверяване на уводни знания","3","Какво означава CSSOM?","Cascading Style Sheets Optimization Method","CSS Object Model ","Custom Style Sheets Object Management","Computed Style Sheets Object Mapping","2","1","Правилен отговор!","Грешен отговор!","Няма особености на въпроса"
